date,open,high,low,close,volume,fng_value
08/10/2022,19533,19624,19259,19420,10046330.38,24
09/10/2022,19421,19604,19324,19445,13752952.97,22
10/10/2022,19436,19525,19029,19131,20144618.12,22
11/10/2022,19131,19265,18853,19059,25404359.63,24
12/10/2022,19061,19229,18967,19157,16671775.97,20
13/10/2022,19156,19504,18183,19377,56595994.44,20
14/10/2022,19374,19947,19083,19181,25200019.16,24
15/10/2022,19184,19229,18990,19066,6319063.118,24
16/10/2022,19072,19425,19067,19264,8033311.648,24
17/10/2022,19262,19672,19160,19547,22315314.6,20
18/10/2022,19547,19700,19099,19334,29475192.53,22
19/10/2022,19329,19356,19078,19126,24913438.74,23
20/10/2022,19128,19340,18913,19043,28405766.95,23
21/10/2022,19043,19245,18660,19165,36862725.89,23
22/10/2022,19166,19250,19118,19206,8746813.596,20
23/10/2022,19208,19689,19079,19574,23403068.54,23
24/10/2022,19576,19588,19169,19332,22345152.88,22
25/10/2022,19332,20418,19222,20087,56334255.57,20
26/10/2022,20096,21012,20062,20775,56322459.44,33
27/10/2022,20771,20872,20210,20296,33891965.58,32
28/10/2022,20295,20750,20008,20599,37647016.81,30
29/10/2022,20596,21078,20566,20821,25259817.88,34
30/10/2022,20820,20931,20525,20628,14023714,34
31/10/2022,20631,20833,20243,20498,38536743.58,31
01/11/2022,20493,20681,20334,20480,26146648.26,30
02/11/2022,20480,20802,20055,20154,46194627.92,30
03/11/2022,20152,20387,20039,20209,20292239.51,30
04/11/2022,20209,21290,20184,21153,74066708.24,30
05/11/2022,21152,21473,21089,21301,16489641.31,38
06/11/2022,21299,21364,20899,20907,11539796.15,40
07/11/2022,20899,21070,20400,20590,29196530.12,33
08/11/2022,20591,20669,17114,18550,223265978.2,31
09/11/2022,18546,18588,15632,15877,132581927.6,29
10/11/2022,15900,18150,15748,17551,146994134.3,22
11/11/2022,17548,17645,16394,17007,95864302.69,25
